date,dow,month,title,genre,receipts,zinz,double,composer,author
1791-01-19,Wed,Jan,Die Sonnenjungfrau,S,32020,FALSE,FALSE,Weigl,Kotzebue
1791-01-20,Thu,Jan,Le nozze di Figaro,O,11051,FALSE,FALSE,Mozart,Da Ponte
1791-01-21,Fri,Jan,Liebhaber und Nebenbuhler,L,12485,FALSE,FALSE,,Ziegler
1791-01-22,Sat,Jan,Gli equivoci,O,9087,TRUE,FALSE,Storace,Da Ponte
1791-01-23,Sun,Jan,Die Lästerschule,L,16162,FALSE,FALSE,,Schröder
1791-01-24,Mon,Jan,La cifra,O,10255,FALSE,FALSE,Salieri,Da Ponte
1791-01-25,Tue,Jan,Die Sonnenjungfrau,S,32364,FALSE,FALSE,Weigl,Kotzebue
1791-01-26,Wed,Jan,L'arbore di Diana,O,10658,FALSE,FALSE,Martín y Soler,Da Ponte
1791-01-27,Thu,Jan,Der Sonderling,L,13183,FALSE,FALSE,,Weidmann
1791-01-28,Fri,Jan,La molinara,O,16581,FALSE,FALSE,Paisiello,Palomba
1791-01-29,Sat,Jan,Agnes Bernauerinn,T,21321,FALSE,FALSE,,Törring und Cronsfeld
1791-01-30,Sun,Jan,Il talismano,O,9602,FALSE,FALSE,Salieri,Da Ponte
1791-01-31,Mon,Jan,Der Kühehirt,L,10956,FALSE,TRUE,,Weidmann
1791-02-01,Tue,Feb,La cifra,O,9145,FALSE,FALSE,Salieri,Da Ponte
1791-02-02,Wed,Feb,Die Sonnenjungfrau,S,31394,FALSE,FALSE,Weigl,Kotzebue
1791-02-03,Thu,Feb,L'arbore di Diana,O,8872,FALSE,FALSE,Martín y Soler,Da Ponte
1791-02-04,Fri,Feb,Matilde,T,19180,FALSE,FALSE,,Ziegler
1791-02-05,Sat,Feb,L'arbore di Diana,O,6097,FALSE,FALSE,Martín y Soler,Da Ponte
1791-02-06,Sun,Feb,Das Portrait der Mutter,L,12453,FALSE,FALSE,,Schröder
1791-02-07,Mon,Feb,Una cosa rara,O,9511,FALSE,FALSE,Martín y Soler,Da Ponte
1791-02-08,Tue,Feb,Die Adelsucht,L,8444,FALSE,TRUE,,La Chaussée
1791-02-09,Wed,Feb,Le nozze di Figaro,O,8718,TRUE,FALSE,Mozart,Da Ponte
1791-02-10,Thu,Feb,Hamlet,T,17344,TRUE,FALSE,,Schröder
1791-02-11,Fri,Feb,La pastorella nobile,O,13112,TRUE,FALSE,Guglielmi,Zini
1791-02-12,Sat,Feb,Minna von Barnhelm,L,11282,FALSE,FALSE,,Lessing
1791-02-13,Sun,Feb,Il talismano,O,9781,FALSE,FALSE,Salieri,Da Ponte
1791-02-14,Mon,Feb,Der flatterhafte Ehemann,L,10114,FALSE,FALSE,,Bock
1791-02-15,Tue,Feb,La giardiniera innamorata,O,24149,TRUE,FALSE,Guglielmi,Palomba
1791-02-16,Wed,Feb,Die Sonnenjungfrau,S,31604,FALSE,FALSE,Weigl,Kotzebue
1791-02-17,Thu,Feb,La giardiniera innamorata,O,16950,TRUE,FALSE,Guglielmi,Palomba
1791-02-18,Fri,Feb,Percy,T,33082,FALSE,FALSE,,Moore
1791-02-19,Sat,Feb,Il re Teodoro in Venezia,O,7694,FALSE,FALSE,Paisiello,Casti
1791-02-22,Tue,Feb,Die Mündel,S,19546,FALSE,FALSE,,Iffland
1791-02-23,Wed,Feb,Il talismano,O,6098,FALSE,FALSE,Salieri,Da Ponte
1791-02-24,Thu,Feb,Der seltne Onckel,L,26823,FALSE,FALSE,,Ziegler
1791-02-25,Fri,Feb,Una cosa rara,O,9913,FALSE,FALSE,Martín y Soler,Da Ponte
1791-02-26,Sat,Feb,Der seltne Onckel,L,23478,TRUE,FALSE,,Ziegler
1791-02-27,Sun,Feb,La giardiniera innamorata,O,13878,FALSE,FALSE,Guglielmi,Palomba
1791-02-28,Mon,Feb,Die Sonnenjungfrau,S,30631,FALSE,FALSE,Weigl,Kotzebue
1791-03-01,Tue,Mar,La pastorella nobile,O,13456,FALSE,FALSE,Guglielmi,Zini
1791-03-02,Wed,Mar,Der Adjutant,L,21558,FALSE,TRUE,,Brömel
1791-03-03,Thu,Mar,L'arbore di Diana,O,10801,TRUE,FALSE,Martín y Soler,Da Ponte
1791-03-04,Fri,Mar,Menschenhaß und Reue,S,21493,TRUE,FALSE,,Kotzebue
1791-03-05,Sat,Mar,Il talismano,O,9201,FALSE,FALSE,Salieri,Da Ponte
1791-03-06,Sun,Mar,Der Bettelstudent,L,32326,FALSE,TRUE,Winter,Weidmann
1791-03-07,Mon,Mar,La molinara,O,20601,TRUE,FALSE,Paisiello,Palomba
1791-03-08,Tue,Mar,Der Fasching-Dienstag,L,32958,TRUE,TRUE,,Jünger
